Filename,DOI,Relevance_Score,Species,Gene,Mod_Type,Phenotype,Quant_Data,Promoter,Terminator,Application_Category
7073855.pdf,10.3390/genes11020127,0.9,brassica oleracea,BoJAZ10,Gene Expression,Upregulated in clubroot-resistant line,Expression level: high,,,"Disease resistance, Gene expression"
7073855.pdf,10.3390/genes11020127,0.9,brassica oleracea,BoJAZ15,Gene Expression,Downregulated in susceptible line,Expression level: low,,,"Disease resistance, Gene expression"
7073855.pdf,10.3390/genes11020127,0.9,brassica oleracea,BoPPD1,Gene Expression,Highest expression in leaves,Expression level: high,,,"Leaf property, Gene expression"
7073855.pdf,10.3390/genes11020127,0.9,brassica oleracea,BoTIFY3,Gene Expression,Lower expression in leaves,Expression level: low,,,"Leaf property, Gene expression"
5241307.pdf,10.3389/fpls.2016.02052,0.9,cassava,CP (Coat Protein) of CBSV and UCBSV,RNAi,Resistance to Cassava Brown Streak Disease (CBSD),siRNA levels: Undetectable (34% of lines); Low (24% of lines); Medium-High (42% of lines); Correlation between CBSV and UCBSV siRNA: r=0.96,,,"Disease resistance, Plant Transformation"
11717716.pdf,10.21769/BioProtoc.5174,0.9,plant,Not specified,Transformation,No specific plant phenotypes mentioned,Not applicable,,,Plant Transformation
5504571.pdf,10.1186/s12870-017-1071-x,0.9,arabidopsis thaliana,ASA1,Expression,Adventitious root formation,Expression level increased; IAA biosynthesis enhanced,,,"Gene expression, Above-ground biomass property"
5504571.pdf,10.1186/s12870-017-1071-x,0.9,arabidopsis thaliana,ASB1,Expression,Adventitious root formation,Expression level increased; IAA biosynthesis enhanced,,,"Gene expression, Above-ground biomass property"
5504571.pdf,10.1186/s12870-017-1071-x,0.9,arabidopsis thaliana,PIN1,Expression,Adventitious root formation,Expression level increased; IAA efflux enhanced,,,"Gene expression, Above-ground biomass property"
5504571.pdf,10.1186/s12870-017-1071-x,0.9,arabidopsis thaliana,AUX1,Expression,Adventitious root formation,Expression level increased; IAA influx enhanced,,,"Gene expression, Above-ground biomass property"
5504571.pdf,10.1186/s12870-017-1071-x,0.9,arabidopsis thaliana,LAX3,Expression,Adventitious root formation,Expression level increased; IAA influx enhanced,,,"Gene expression, Above-ground biomass property"
3024324.pdf,10.1186/1471-2229-10-286,0.9,nicotiana benthamiana,BaMV,Viral infection,Differential gene expression,90 cDNA fragments; 8 primer pairs,,,"Gene expression, Disease resistance"
3024324.pdf,10.1186/1471-2229-10-286,0.8,nicotiana benthamiana,FNR,Gene knockdown,Increased BaMV coat protein accumulation,190 ± 24%,,,Disease resistance
3024324.pdf,10.1186/1471-2229-10-286,0.8,nicotiana benthamiana,cCA,Gene knockdown,Decreased BaMV coat protein accumulation,63 ± 14%,,,Disease resistance
4623399.pdf,10.3389/fpls.2015.00922,0.9,arabidopsis thaliana,AtPAP2,Overexpression,Increased ATP supply from chloroplasts and mitochondria,Higher ATP levels; increased sucrose content,,,"Photosynthesis, Carbon Capture, Plant Transformation"
8955755.pdf,10.3390/ijms23063070,0.9,arabidopsis thaliana,string,RNA Sequencing,Upregulation in Plant Stress and Defense Pathways,Germination rate after 80s plasma treatment: 80 s had the strongest effect followed by the 60 s treatment; Control experiments: 0 s.,,,"Plant Transformation, Disease resistance, Stress tolerance"
4798760.pdf,10.1371/journal.pone.0150717,0.9,wheat,Xingzi 9104,Transcriptome Analysis,Resistance to Stripe Rust,1468 up-regulated; 1198 down-regulated; 628 up-regulated; 155 down-regulated; 942 up-regulated; 1645 down-regulated,,,"Disease resistance, Plant Transformation, Gene expression"
7582553.pdf,10.3390/ijms21197046,0.9,rice,TMS5,Up-regulation,Higher pollen fertility,95.62% pollen fertility; 3.16% typical aborted pollen,,,"Above-ground biomass property, Pollen development, Flowering, Plant Transformation"
7582553.pdf,10.3390/ijms21197046,0.9,rice,TMS9-1,Up-regulation,Higher pollen fertility,95.62% pollen fertility; 3.16% typical aborted pollen,,,"Above-ground biomass property, Pollen development, Flowering, Plant Transformation"
7582553.pdf,10.3390/ijms21197046,0.9,rice,CSA,Up-regulation,Higher pollen fertility,95.62% pollen fertility; 3.16% typical aborted pollen,,,"Above-ground biomass property, Pollen development, Flowering, Plant Transformation"
5165247.pdf,10.3389/fpls.2016.01917,0.9,soybean,TIR-NBS-LRR,Gene Expression,UV-B stress response,Upregulated in Buseok under UV-B; Downregulated in Cheongja 3 under UV-B,,,"Stress resistance, Disease resistance"
5165247.pdf,10.3389/fpls.2016.01917,0.9,soybean,HSP70,Gene Expression,Heat stress response,Upregulated in Buseok under UV-B,,,"Stress resistance, Heat tolerance"
5165247.pdf,10.3389/fpls.2016.01917,0.9,arabidopsis,PIP5K,Gene Expression,UV-B stress response,Upregulated in wild type under UV-B; Downregulated in knock-out mutant,,,"Stress resistance, Signal transduction"
5165247.pdf,10.3389/fpls.2016.01917,0.9,arabidopsis,DGK,Gene Expression,UV-B stress response,Upregulated in wild type under UV-B; Downregulated in knock-out mutant,,,"Stress resistance, Signal transduction"
6411371.pdf,10.1093/jxb/erz077,0.9,wheat,HaHB4,Transgenic,Increased yield and water use efficiency,6% larger yield; 9.4% greater water use efficiency,,,"Drought tolerance, Grain yield"
6411371.pdf,10.1093/jxb/erz077,0.8,wheat,TaNF-YB4,Transgenic,Increased grain yield,20-30% increase in grain yield,,,Grain yield
6411371.pdf,10.1093/jxb/erz077,0.7,wheat,TaDREB3,Transgenic,Improved drought tolerance,,,,Drought tolerance
9491448.pdf,10.1111/pbi.13878,0.9,lactuca sativa,LsNRL4,Overexpression,Enhanced photosynthesis,Chlorophyll a: 1.2 mg/g; Chlorophyll b: 0.3 mg/g,,,"Photosynthesis, Leaf property"
9491448.pdf,10.1111/pbi.13878,0.9,lactuca sativa,LsNRL4,Knockout,Decreased leaf angle,Leaf angle: 60° ± 5°,,,"Leaf property, Plant Transformation"
4758722.pdf,10.1371/journal.pone.0149417,0.9,beta vulgaris,CYP76AD1,Overexpression,Red betacyanin pigmentation,L-DOPA content increased by 100%; betanidin production observed,,,"Phytochemicals, Pigmentation"
4758722.pdf,10.1371/journal.pone.0149417,0.8,beta vulgaris,CYP76AD5,Overexpression,Yellow betaxanthin pigmentation,L-DOPA content increased by 80%; betaxanthin production observed,,,"Phytochemicals, Pigmentation"
4758722.pdf,10.1371/journal.pone.0149417,0.7,beta vulgaris,CYP76AD6,Overexpression,No pigmentation,L-DOPA content increased by 60%; betanidin production not observed,,,"Phytochemicals, Pigmentation"
6576080.pdf,10.1111/pbi.13049,0.9,gossypium hirsutum l.,hppd,Transgene Expression,Variable expression of hppd over generations,"Expression levels of HPPD protein varied; 59 plants expressed HPPD stably up to T5; 80% silencing in T1, reduced to 1% in T4",,,"Gene expression, Above-ground biomass yield"
6576080.pdf,10.1111/pbi.13049,0.9,gossypium hirsutum l.,axmi115,Transgene Expression,Variable expression of axmi115 over generations,Expression levels of AXMI115 protein varied; 84 plants analyzed for AXMI115 expression; 60% expressing descendants in T2,,,"Gene expression, Pest resistance"
6576080.pdf,10.1111/pbi.13049,0.9,gossypium hirsutum l.,2mepsps,Transgene Expression,Stable expression of 2mepsps,All 35 plants expressed 2mepsps stably up to T5,,,"Gene expression, Herbicide resistance"
3464924.pdf,10.1371/journal.pone.0046747,0.9,spirodela polyrhiza,mtDNA,Genomic Analysis,Mitochondrial Genome Characteristics,"228,493 bp; 31.4% coding sequences; 35 protein-coding genes; 19 tRNA genes; 3 rRNA genes",,,"Genome editing, Plant Transformation, Gene expression"
5765002.pdf,10.1038/s41598-017-19064-5,0.9,tobacco,cry2Ah1,Gene Expression,High resistance to cotton bollworm,Cry2Ah1 expression levels varied from 4.41 to 40.28 μg/g fresh weight,,,"Pest resistance, Disease resistance"
5765002.pdf,10.1038/s41598-017-19064-5,0.9,tobacco,cry2Ah1-vp,Gene Expression,High resistance to cotton bollworm,Cry2Ah1 expression levels varied from 4.41 to 40.28 μg/g fresh weight,,,"Pest resistance, Disease resistance"
5765002.pdf,10.1038/s41598-017-19064-5,0.9,tobacco,cry2Ah1-sp,Gene Expression,High resistance to cotton bollworm,Cry2Ah1 expression levels varied from 4.41 to 40.28 μg/g fresh weight,,,"Pest resistance, Disease resistance"
9317829.pdf,10.3390/molecules27144354,0.9,salvia miltiorrhiza,HMGR4,Overexpression,Increased accumulation of tanshinones,DHTI: 1.51-fold increase; CT: 2.43-fold increase; TI: 1.86-fold increase; TIIA: 1.82-fold increase,,,"Pharmaceutical precursors, Chemicals"
9718546.pdf,10.1080/15592324.2022.2149942,0.9,solanum lycopersicum,SlDRB1,Gene Silencing,Reduced resistance to TYLCV,Gene expression increased after inoculation; Resistance significantly weakened after silencing,,,"Disease resistance, Plant Transformation"
9718546.pdf,10.1080/15592324.2022.2149942,0.8,solanum lycopersicum,SlDRB4,Gene Silencing,No significant effect on TYLCV resistance,No significant expression differences after TYLCV inoculation,,,"Disease resistance, Plant Transformation"
11761474.pdf,10.1038/s41598-025-87488-5,0.9,capsicum annuum,PR1,Upregulated,Increased defense response,1.85 FC at 3 dpi; 0.13 FC at 7 dpi; 1.94 FC at 14 dpi,,,Disease resistance
11761474.pdf,10.1038/s41598-025-87488-5,0.9,capsicum annuum,DEF,Upregulated,Increased defense response,1.02 FC at 3 dpi; 0.56 FC at 7 dpi; 0.47 FC at 14 dpi,,,Disease resistance
11761474.pdf,10.1038/s41598-025-87488-5,0.9,capsicum annuum,SN,Upregulated,Increased defense response,1.66 FC at 3 dpi; 0.36 FC at 7 dpi; 0.33 FC at 14 dpi,,,Disease resistance
11761474.pdf,10.1038/s41598-025-87488-5,0.9,solanum lycopersicum,PR1,Upregulated,Increased defense response,1.13 FC at 3 dpi; 0.23 FC at 14 dpi,,,Disease resistance
11761474.pdf,10.1038/s41598-025-87488-5,0.9,solanum lycopersicum,DEF,Upregulated,Increased defense response,1.02 FC at 3 dpi; 0.33 FC at 14 dpi,,,Disease resistance
11761474.pdf,10.1038/s41598-025-87488-5,0.9,solanum lycopersicum,SN,Upregulated,Increased defense response,1.88 FC at 3 dpi; 0.33 FC at 14 dpi,,,Disease resistance
5876330.pdf,10.1038/s41598-018-23738-z,0.9,zea mays,"Bt proteins (Cry34/35Ab1, eCry3.1Ab, mCry3A, Cry3Bb1)",Transgenic,Resistance to Bt proteins,LC50 values for Cry34/35Ab1: 6.28 (2.60–22.64) µg/cm²; EC50 values for Cry34/35Ab1: 2.01 (0.33–12.05) µg/cm²; MIC50 values for Cry34/35Ab1: 0.96 (0.33–2.85) µg/cm²,,,"Herbicide resistance, Pest resistance"
10759395.pdf,10.1186/s12870-023-04699-6,0.9,camellia oleifera,Co4CL1,Gene Expression,Anthocyanin accumulation,"Expression level in P, CP, R petals",,,"Gene expression, Flowering"
10759395.pdf,10.1186/s12870-023-04699-6,0.9,camellia oleifera,CoF3H1,Gene Expression,Anthocyanin accumulation,"Expression level in P, CP, R petals",,,"Gene expression, Flowering"
10759395.pdf,10.1186/s12870-023-04699-6,0.9,camellia oleifera,CoANS,Gene Expression,Anthocyanin accumulation,"Expression level in P, CP, R petals",,,"Gene expression, Flowering"
10759395.pdf,10.1186/s12870-023-04699-6,0.9,camellia oleifera,CoUGT75C1-4,Gene Expression,Anthocyanin accumulation,"Expression level in P, CP, R petals",,,"Gene expression, Flowering"
10759395.pdf,10.1186/s12870-023-04699-6,0.9,camellia oleifera,CoUGT75C1-5,Gene Expression,Anthocyanin accumulation,"Expression level in P, CP, R petals",,,"Gene expression, Flowering"
10759395.pdf,10.1186/s12870-023-04699-6,0.9,camellia oleifera,CoMYB1,Transcription Factor,Anthocyanin accumulation,"Expression level in P, CP, R petals",,,"Gene expression, Flowering"
10759395.pdf,10.1186/s12870-023-04699-6,0.9,camellia oleifera,CoMYB4,Transcription Factor,Anthocyanin accumulation,"Expression level in P, CP, R petals",,,"Gene expression, Flowering"
10759395.pdf,10.1186/s12870-023-04699-6,0.9,camellia oleifera,CoMYB44-3,Transcription Factor,Anthocyanin accumulation,"Expression level in P, CP, R petals",,,"Gene expression, Flowering"
10759395.pdf,10.1186/s12870-023-04699-6,0.9,camellia oleifera,CobHLH77,Transcription Factor,Anthocyanin accumulation,"Expression level in P, CP, R petals",,,"Gene expression, Flowering"
10759395.pdf,10.1186/s12870-023-04699-6,0.9,camellia oleifera,CobHLH79-1,Transcription Factor,Anthocyanin accumulation,"Expression level in P, CP, R petals",,,"Gene expression, Flowering"
10759395.pdf,10.1186/s12870-023-04699-6,0.9,camellia oleifera,CoWRKY7,Transcription Factor,Anthocyanin accumulation,"Expression level in P, CP, R petals",,,"Gene expression, Flowering"
10759395.pdf,10.1186/s12870-023-04699-6,0.9,camellia oleifera,CoWRKY22,Transcription Factor,Anthocyanin accumulation,"Expression level in P, CP, R petals",,,"Gene expression, Flowering"
6521110.pdf,10.3390/v11040344,0.9,tomato,"SlDCL2s, SlDCL4",RNAi-mediated knockdown,Increased PSTVd accumulation and lethal systemic necrosis,PSTVd levels increased by 2.1 times in 72E compared to EC at 2 wpi; miR398a-3p increased by 5-fold in 72E,,,"Disease resistance, Gene expression"
6037855.pdf,10.3389/fbioe.2018.00088,0.9,agrostis stolonifera,Glyphosate tolerance,Transgenic,Persistent and spreading,Hundreds of plants; 100 sq. km. area,,,Herbicide resistance
6037855.pdf,10.3389/fbioe.2018.00088,0.8,agrostis stolonifera x a. gigantea,Glyphosate tolerance,Transgenic hybrid,Infrequent transgenic hybrids,,,,Herbicide resistance
6037855.pdf,10.3389/fbioe.2018.00088,0.85,brassica napus (argentine oilseed rape),Herbicide tolerance,Transgenic,Persistent populations,Hundreds of plants; 400+ in Japan; 13 in Switzerland,,,Herbicide resistance
6037855.pdf,10.3389/fbioe.2018.00088,0.8,carica papaya,Virus resistance,Transgenic,22% of feral plants sampled,22% of plants sampled,,,Disease resistance
6037855.pdf,10.3389/fbioe.2018.00088,0.85,gossypium hirsutum (cotton),"Herbicide tolerance, Lepidopteran resistance",Transgenic,Multi-generation persistence,Multiple sites in 4 regions of Mexico,,,"Herbicide resistance, Pest resistance"
6037855.pdf,10.3389/fbioe.2018.00088,0.8,medicago sativa (alfalfa),Herbicide tolerance,Transgenic,Persistent feral plants,Over 100 transgenic plants out of 404 sites,,,Herbicide resistance
6037855.pdf,10.3389/fbioe.2018.00088,0.7,triticum aestivum (bread wheat),Glyphosate tolerance,Transgenic,Modest numbers of plants,"Single agricultural field in each of Oregon, Montana, Washington",,,Herbicide resistance
6037855.pdf,10.3389/fbioe.2018.00088,0.8,zea mays (maize),Herbicide tolerance,Transgenic,Volunteer plants,,,,Herbicide resistance
11876184.pdf,10.3389/fpls.2025.1526733,0.9,citrus,ABR1,Transcription Factor,Leaf Degreening,Higher Chlorophyll Content,,,"Leaf property, Pigment metabolism"
11876184.pdf,10.3389/fpls.2025.1526733,0.9,citrus,ATHB7,Transcription Factor,Leaf Degreening,Higher Chlorophyll Content,,,"Leaf property, Pigment metabolism"
9697096.pdf,10.3390/ijms232213875,0.9,pineapple,AcSWEET11,Overexpression,Sugar accumulation,Soluble sugar content in green fruits: 16.51 mg/g FW; Soluble sugar content in mature fruits: 20.33 mg/g FW,,,"Fruit Property, Sugar Accumulation"
9697096.pdf,10.3390/ijms232213875,0.9,pineapple,AcSWEET11,Overexpression,Soluble sugar content,Transient callus: 18.01 mg/g FW,,,Sugar Accumulation
9697096.pdf,10.3390/ijms232213875,0.9,tomato,VvSWEET10,Overexpression,Sugar accumulation,Glucose and fructose contents increased,,,Sugar Accumulation
9697096.pdf,10.3390/ijms232213875,0.9,pear,PuSWEET15,Overexpression,Sucrose content,Sucrose content increased after overexpression,,,Sugar Accumulation
9395478.pdf,10.1007/s00299-022-02893-8,0.9,solanum lycopersicum,"SP, SP5G",CRISPR/Cas9,"Shoot regeneration, gene editing efficiency",60% editing efficiency; 21.3% regeneration rate,35S,OcsT,"Gene expression, Plant Transformation, Genome editing"
4419669.pdf,10.3389/fpls.2015.00303,0.9,tomato,SlCNGC16,Silencing,Reduced resistance to viral pathogens,Lesion diameter increased,,,Disease resistance
4419669.pdf,10.3389/fpls.2015.00303,0.9,tomato,SlCNGC17,Silencing,Enhanced resistance to necrotrophic pathogens,Lesion diameter decreased,,,Disease resistance
4419669.pdf,10.3389/fpls.2015.00303,0.9,tomato,SlCNGC18,Silencing,Enhanced resistance to necrotrophic pathogens,Lesion diameter decreased,,,Disease resistance
4419669.pdf,10.3389/fpls.2015.00303,0.9,tomato,SlCNGC16,Silencing,Reduced resistance to viral pathogens,Lesion diameter increased,,,Disease resistance
9916504.pdf,10.3390/ijms24032060,0.9,persea americana,UN047162,Gene Expression,Defense Response,Up-regulated; Increased transcription,,,"Disease resistance, Defense response"
9916504.pdf,10.3390/ijms24032060,0.8,persea americana,UN084237,Gene Expression,Defense Response,Up-regulated; Increased transcription,,,"Disease resistance, Defense response"
9916504.pdf,10.3390/ijms24032060,0.8,persea americana,UN076164,Gene Expression,Defense Response,Up-regulated; Increased transcription,,,"Disease resistance, Defense response"
9916504.pdf,10.3390/ijms24032060,0.7,persea americana,UN041269,Gene Expression,Oxidative Stress Response,Up-regulated; Increased transcription,,,"Oxidative stress response, Defense response"
4275275.pdf,10.1371/journal.pone.0115906,0.9,tobacco,"SStob-224-EGFP, SStob-242-EGFP, SStob-442-EGFP",Overexpression,Cell wall properties,Decreased cellulose crystallinity; Increased wall xyloglucan content; Increased hydration capacity; Increased cell wall biomass; Increased protein content,,,"Above-ground biomass property, Cell wall modification, Genetic engineering"
7356044.pdf,10.3390/plants9060767,0.9,boehmeria nivea,GDSL esterase and lipase,Gene expression,Higher constitutive expression,Higher expression under control conditions,,,"Nitrogen-use efficiency, Above-ground biomass property"
7356044.pdf,10.3390/plants9060767,0.8,boehmeria nivea,Gibberellin,Gene expression,Higher constitutive expression,Higher expression under control conditions,,,"Nitrogen-use efficiency, Above-ground biomass property"
7356044.pdf,10.3390/plants9060767,0.7,boehmeria nivea,UDP-glycosyltransferase,Gene expression,Higher constitutive expression,Higher expression under control conditions,,,"Nitrogen-use efficiency, Above-ground biomass property"
7356044.pdf,10.3390/plants9060767,0.6,boehmeria nivea,Wall-associated receptor kinase,Gene expression,Relatively upregulated,Upregulated under N-deficiency in T29,,,"Nitrogen-use efficiency, Disease resistance"
7356044.pdf,10.3390/plants9060767,0.5,boehmeria nivea,Serine carboxypeptidase,Gene expression,Relatively upregulated,Upregulated under N-deficiency in T29,,,"Nitrogen-use efficiency, Biosensing"
7356044.pdf,10.3390/plants9060767,0.4,boehmeria nivea,Homeobox-leucine zipper protein,Gene expression,Relatively upregulated,Upregulated under N-deficiency in T29,,,"Nitrogen-use efficiency, Bud dormancy"
7356044.pdf,10.3390/plants9060767,0.3,boehmeria nivea,Ferulate 5-hydroxylase,Gene expression,Relatively upregulated,Upregulated under N-deficiency in T29,,,"Nitrogen-use efficiency, Seed Property"
7921840.pdf,10.1016/j.isci.2021.102199,0.9,gossypium hirsutum,GhPIPLC2D,Gene Silencing,Cotton Fiber Elongation,Fiber length decreased by 30%; IP3 content decreased by 50%,,,"Fiber Property, Fiber Yield"
7921840.pdf,10.1016/j.isci.2021.102199,0.8,gossypium hirsutum,GhPIPLC2D,Overexpression,Cotton Fiber Elongation,Fiber length increased by 20%; IP3 content increased by 80%,,,"Fiber Property, Fiber Yield"
7921840.pdf,10.1016/j.isci.2021.102199,0.7,gossypium hirsutum,GhACO1,Gene Expression,Ethylene Biosynthesis,Gene expression increased by 40%; Ethylene production increased by 60%,,,"Ethylene Biosynthesis, Fiber Property"
7921840.pdf,10.1016/j.isci.2021.102199,0.6,gossypium hirsutum,GhACO3,Gene Expression,Ethylene Biosynthesis,Gene expression increased by 35%; Ethylene production increased by 55%,,,"Ethylene Biosynthesis, Fiber Property"
9257259.pdf,10.3389/fpls.2022.930592,0.9,lettuce,LsPDS,CRISPR/Cas9,Genome editing efficiency,38.59%; 69.38%,35S,,"Genome editing, Plant Transformation"
9257259.pdf,10.3389/fpls.2022.930592,0.9,lettuce,LsGGP2,CRISPR/Cas9,Genome editing efficiency,41.85%; 81.22%,35S,,"Genome editing, Plant Transformation"
9257259.pdf,10.3389/fpls.2022.930592,0.9,lettuce,LsBIN2,CRISPR/Cas9,Genome editing efficiency,24.23%; 54.00%,,,"Genome editing, Plant Transformation"
6848245.pdf,10.1007/s11248-019-00160-3,0.9,zea mays,"MON 89034, MON 88017",Genetically Modified,"Insect protection, Herbicide tolerance",Protein: 12.70-13.04%; Total Fat: 4.50-4.72%; Ash: 2.50-2.60%,,,"Above-ground biomass property, Herbicide resistance, Insect resistance"
4536249.pdf,10.1186/s12284-015-0063-4,0.9,rice,InDel Markers,Insertion/Deletion,Genetic Polymorphism,"2,329,544 InDels identified; 162,380 highly polymorphic InDels (PIC ≥0.5); 1.81% unique primer set; 95.70% accuracy; average PIC 0.56; average allele number 3.02",,,"Genome editing, Marker-assisted breeding, Genetic mapping"
8003395.pdf,10.3390/ijms22063133,0.9,cotton,GhHAK5,Gene Expression,Response to Potassium Deficiency,Expression level increased under low K⁺; FPKM value >16,,,"Above-ground biomass property, Root Property"
8003395.pdf,10.3390/ijms22063133,0.9,cotton,GhKUP3,Gene Expression,Response to Potassium Deficiency,Expression level increased under low K⁺; FPKM value >4.6,,,"Above-ground biomass property, Root Property"
8003395.pdf,10.3390/ijms22063133,0.9,cotton,GhERF15A,Gene Expression,Response to Potassium Deficiency,Expression level down-regulated under low K⁺,,,"Above-ground biomass property, Root Property"
8003395.pdf,10.3390/ijms22063133,0.9,cotton,GhESE3A,Gene Expression,Response to Potassium Deficiency,Expression level down-regulated under low K⁺,,,"Above-ground biomass property, Root Property"
9503245.pdf,10.3390/ijms231810964,0.9,brassica rapa ssp. pekinensis,BrGSNOR,Protein S-nitrosylation,Low-temperature stress tolerance,Leaf area increased by 75.6%; Chlorophyll content increased by 15.6%; Proline content increased by 246.5%; MDA content decreased by 12.9%,,,"Low-temperature stress tolerance, Photosynthesis, Antioxidant activity"
9519029.pdf,10.1080/15592324.2022.2119013,0.9,arabidopsis,GL2,EYFP fusion,Leaf curling,Leaf curling percentage: 9.76%; Leaf rolling index: 1.20,,,"Leaf property, Leaf yield"
9519029.pdf,10.1080/15592324.2022.2119013,0.9,arabidopsis,GL2,FLAG fusion,Leaf curling,Leaf curling percentage: 0%,,,"Leaf property, Leaf yield"
9519029.pdf,10.1080/15592324.2022.2119013,0.9,arabidopsis,GL2,EYFP fusion,Plant growth,Plant height: 15 cm; Flowering time: 25 days,,,"Above-ground biomass property, Flowering"
9519029.pdf,10.1080/15592324.2022.2119013,0.9,arabidopsis,GL2,EYFP fusion,Protein stability,Protein level at 0h: 1.0; Protein level at 24h: 0.05,,,Gene expression
8646090.pdf,10.3389/fpls.2021.752790,0.9,arabidopsis thaliana,AtMinD1,Mutation,Asymmetrical chloroplast division,Decreased chloroplast number; Increased chloroplast size,,,"Chloroplast division, Plant Transformation"
8646090.pdf,10.3389/fpls.2021.752790,0.8,arabidopsis thaliana,ARC6,Mutation,Enlarged chloroplasts with fragmented FtsZ filaments,Decreased chloroplast division efficiency,,,"Chloroplast division, Plant Transformation"
3621894.pdf,10.1371/journal.pone.0060829,0.9,zea mays,rnc70,Gene Expression,Resistance to RBSDV,Disease Score: 49.0–67.9; Disease Index: 49.0–67.9,,,"Disease resistance, Virus resistance"
4756541.pdf,10.1186/s13007-016-0116-8,0.9,arabidopsis thaliana,AtHY2,RNAi Knockdown,Reduced heme and phytochromobilin biosynthesis,Gene expression decreased to 20–25% of control,,,"Gene expression, Plant Transformation"
4756541.pdf,10.1186/s13007-016-0116-8,0.9,arabidopsis thaliana,AtTRY,RNAi Knockdown,Reduced trichome development,Gene expression decreased to 20–25% of control,,,"Gene expression, Plant Transformation"
4756541.pdf,10.1186/s13007-016-0116-8,0.9,arabidopsis thaliana,AtLNG1,RNAi Knockdown,Reduced longitudinal cell elongation,Gene expression decreased to 20–25% of control,,,"Gene expression, Plant Transformation"
4756541.pdf,10.1186/s13007-016-0116-8,0.9,arabidopsis thaliana,AtNPQ1,RNAi Knockdown,Reduced non-photocchemical quenching,Gene expression decreased to 20–25% of control,,,"Gene expression, Plant Transformation"
4756541.pdf,10.1186/s13007-016-0116-8,0.9,arabidopsis thaliana,AtSEX1,RNAi Knockdown,Accumulation of starch in leaves,Gene expression decreased to 20–25% of control,,,"Gene expression, Plant Transformation"
4756541.pdf,10.1186/s13007-016-0116-8,0.9,arabidopsis thaliana,AtMAX3,RNAi Knockdown,Reduced strigolactone biosynthesis,Gene expression decreased to 20–25% of control,,,"Gene expression, Plant Transformation"
4756541.pdf,10.1186/s13007-016-0116-8,0.9,arabidopsis thaliana,AtGUN4,RNAi Knockdown,Reduced chlorophyll content,Gene expression decreased to 20–25% of control,,,"Gene expression, Plant Transformation"
7037545.pdf,10.3390/ijms21030819,0.9,arabidopsis thaliana,GAI,gain-of-function mutant,increased drought tolerance,stomatal density increased; water loss rate higher,,,"Drought tolerance, Plant Transformation"
4664605.pdf,10.7603/s40681-015-0023-8,0.9,salvia miltiorrhiza,DR5,Up-regulation,Increased sensitivity to TRAIL-induced apoptosis,DR5 expression levels increased; apoptosis rate increased,,,"Gene expression, Cancer therapy"
4664605.pdf,10.7603/s40681-015-0023-8,0.8,salvia miltiorrhiza,HIF-1α,Down-regulation,Reduced VEGF expression,HIF-1α levels decreased; VEGF expression reduced,,,"Gene expression, Anti-angiogenesis"
5364151.pdf,10.3389/fpls.2017.00392,0.9,tomato,SlCCD8,RNAi,Reduced strigolactone levels,Shoot biomass: 100 g FW (infected); Root biomass: 15 g FW (infected),,,"Plant Transformation, Disease resistance"
5364151.pdf,10.3389/fpls.2017.00392,0.85,tomato,ABA,Endogenous,Increased ABA levels upon infection,"Leaf ABA: 20,000 pmol/g DW (infected); Root ABA: 20,000 pmol/g DW (infected)",,,"Chemicals, Disease resistance"
5364151.pdf,10.3389/fpls.2017.00392,0.8,tomato,Stomatal aperture,Physiological response,Increased stomatal aperture in infected plants,Stomatal aperture ratio: 0.60 (infected),,,"Leaf property, Disease resistance"
5048462.pdf,10.1186/s12870-016-0899-9,0.9,arabidopsis thaliana,FIT,Transcription Factor,Iron Deficiency Response,448 genes regulated; 34 genes robustly FIT-regulated,,,"Iron homeostasis, Gene expression"
5048462.pdf,10.1186/s12870-016-0899-9,0.8,arabidopsis thaliana,IRT1,Iron Transporter,Iron Deficiency Response,Up-regulated under iron deficiency,,,"Iron homeostasis, Transport processes"
5048462.pdf,10.1186/s12870-016-0899-9,0.8,arabidopsis thaliana,FRO2,Iron Transporter,Iron Deficiency Response,Up-regulated under iron deficiency,,,"Iron homeostasis, Transport processes"
5048462.pdf,10.1186/s12870-016-0899-9,0.7,arabidopsis thaliana,COBL6,Phytochelatin Synthase,Iron Deficiency Response,Up-regulated under iron deficiency,,,"Iron homeostasis, Detoxification"
5048462.pdf,10.1186/s12870-016-0899-9,0.7,arabidopsis thaliana,GLP5,Germin-like Protein,Iron Deficiency Response,Up-regulated under iron deficiency,,,"Iron homeostasis, Signal Transduction"
6626041.pdf,10.1038/s41598-019-46635-5,0.9,populus,Potri.003G180900,Gene Expression,Aquaporin Activity,2.33; 2.58,,,"Plant Transformation, Disease Resistance"
6626041.pdf,10.1038/s41598-019-46635-5,0.9,populus,Potri.005G109200,Gene Expression,Aquaporin Activity,4,,,"Plant Transformation, Disease Resistance"
6626041.pdf,10.1038/s41598-019-46635-5,0.9,populus,Potri.009G127900,Gene Expression,Aquaporin Activity,1.52,,,"Plant Transformation, Disease Resistance"
6626041.pdf,10.1038/s41598-019-46635-5,0.9,populus,Potri.016G089500,Gene Expression,Aquaporin Activity,-1.54; -2.63,,,"Plant Transformation, Disease Resistance"
